Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Found in Sample Group: control,Found in Sample Group: ketamine,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Comet: Comet,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Comet,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Gene Symbol,Gene ID,Reactome Pathways,Ensembl Gene ID,WikiPathways,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (ketamine) / (control),Abundance Ratio Adj. P-Value: (ketamine) / (control),Abundance Ratio Variability [%]: (ketamine) / (control),Abundances (Grouped): control,Abundances (Grouped): ketamine,Abundances (Grouped) CV [%]: control,Abundances (Grouped) CV [%]: ketamine,"Found in Sample: F1: Sample, control","Found in Sample: F4: Sample, control","Found in Sample: F5: Sample, control","Found in Sample: F9: Sample, control","Found in Sample: F2: Sample, ketamine","Found in Sample: F6: Sample, ketamine","Found in Sample: F10: Sample, ketamine","Found in Sample: F11: Sample, ketamine",# Protein Groups,Modifications
TRUE,High,Master Protein,P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1",High,High,0,3.627,7,3,10,3,421,46.5,8.37,6.68,1.88,3,3,other metabolic processes;stress response;developmental processes;other biological processes,other membranes;mitochondrion;other cell component,other molecular function,"Pf00441, Pf02770, Pf02771, Pf08028",11364,Acadm,mmu:11364; P45952; Q64235,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids; Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA; Beta oxidation of octanoyl-CoA to hexanoyl-CoA,ENSMUSG00000062908,Fatty acid beta-oxidation; PPAR signaling pathway; Mitochondrial long chain fatty acid beta-oxidation,6,0,1.303,0.868151666,30.24,63.8,136.2,74.63,67.33,Peak Found,Peak Found,Peak Found,High,n/a,High,Peak Found,High,1,
TRUE,High,Master Protein,Q9Z1P6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Mus musculus OX=10090 GN=Ndufa7 PE=1 SV=3,High,High,0,4.887,28,3,9,3,113,12.6,10.17,6.41,1.92,3,2,other metabolic processes,other membranes;mitochondrion,,Pf07347,66416,Ndufa7,mmu:66416; Q9Z1P6,Complex I biogenesis,ENSMUSG00000041881,Oxidative phosphorylation; Electron transport chain,4,0,1.47,0.7261158624,31.69,68.3,131.7,13.05,42.98,Peak Found,Peak Found,High,High,Peak Found,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,Q61644,Protein kinase C and casein kinase substrate in neurons protein 1 OS=Mus musculus OX=10090 GN=Pacsin1 PE=1 SV=1,High,High,0,13.499,8,3,9,3,441,50.5,5.24,11.19,5.6,3,1,cell organization and biogenesis;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component,cytoskeletal activity;other molecular function,"Pf00611, Pf14604",23969,Pacsin1,mmu:23969; Q61644,Clathrin-mediated endocytosis,ENSMUSG00000040276,,1,0,2.249,0.07659676406,55.57,70.3,129.7,,39.27,n/a,n/a,n/a,High,n/a,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,Q8CCS6,Polyadenylate-binding protein 2 OS=Mus musculus OX=10090 GN=Pabpn1 PE=1 SV=3,High,High,0,13.527,24,4,42,4,302,32.3,5.17,39.31,26.26,4,3,RNA metabolism OR transcription;other metabolic processes;signal transduction;other biological processes,cytosol;nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf00076,54196,Pabpn1,mmu:54196; O35935; Q8CCS6,mRNA 3'-end processing; RNA Polymerase II Transcription Termination; Processing of Intronless Pre-mRNAs,ENSMUSG00000022194,mRNA processing,5,0,0.875,0.9546907661,42.75,104.6,95.4,21.5,35.08,High,High,High,High,Peak Found,High,High,High,1,
TRUE,Medium,Master Protein,Q8VHS6,Ankyrin repeat and SOCS box protein 15 OS=Mus musculus OX=10090 GN=Asb15 PE=1 SV=2,High,High,0.03,0.738,1,1,15,1,583,65.5,6.05,14.01,,1,,protein metabolism;other metabolic processes;signal transduction,,,"Pf07525, Pf12796",78910,Asb15,mmu:78910; Q8CDP8; Q8VHS6,,ENSMUSG00000029685,,0,0,0.01,0,,100,,39.95,,High,High,High,Peak Found,Peak Found,High,High,High,1,
TRUE,High,Master Protein,Q9CQI6,Coactosin-like protein OS=Mus musculus OX=10090 GN=Cotl1 PE=1 SV=3,High,High,0,6.583,44,4,13,4,142,15.9,5.4,12.18,12.33,4,3,cell organization and biogenesis;stress response,cytosol;cytoskeleton;nucleus;other cell component,cytoskeletal activity;other molecular function,Pf00241,72042,Cotl1,mmu:72042; Q9CQI6,Neutrophil degranulation,ENSMUSG00000031827,,1,0,0.879,0.9546907661,58.86,58.7,141.3,116.28,32.02,Peak Found,Peak Found,Peak Found,High,n/a,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,P70333,Heterogeneous nuclear ribonucleoprotein H2 OS=Mus musculus OX=10090 GN=Hnrnph2 PE=1 SV=1,High,High,0,34.973,29,10,61,3,449,49.2,6.3,47.5,36.92,10,7,other biological processes,cytosol;nucleus;other cell component,nucleic acid binding activity,"Pf00076, Pf08080",56258,Hnrnph2,mmu:56258; P70333; Q3THV9,mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA,ENSMUSG00000045427,mRNA processing,3,0,0.737,0.8347408576,19.06,136.7,63.3,63.65,12.67,Peak Found,Peak Found,High,High,n/a,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,P30681,High mobility group protein B2 OS=Mus musculus OX=10090 GN=Hmgb2 PE=1 SV=3,High,High,0,20.322,23,4,69,3,210,24.1,7.31,81.73,28.44,4,3,cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,non-structural extracellular;nucleus;other cell component,signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function,"Pf00505, Pf09011",97165,Hmgb2,mmu:97165; P30681; Q3UXT1; Q9EQD5,Apoptosis induced DNA fragmentation,ENSMUSG00000054717,,1,0,0.845,0.9546907661,23.14,121.5,78.5,22.22,40.57,High,High,High,High,Peak Found,High,High,High,1,
TRUE,High,Master Protein,Q9WTX5,S-phase kinase-associated protein 1 OS=Mus musculus OX=10090 GN=Skp1 PE=1 SV=3,High,High,0,39.968,61,8,75,8,163,18.7,4.54,82.02,49.75,8,7,cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes,cytosol;cytoskeleton;nucleus;other cell component,other molecular function,"Pf01466, Pf03931",21402,Skp1,mmu:21402; Q8C5H6; Q9WTX5,Neddylation; Iron uptake and transport; FCERI mediated NF-kB activation; Downstream TCR signaling; Activation of NF-kappaB in B cells; Antigen processing: Ubiquitination & Proteasome degradation; Regulation of PLK1 Activity at G2/M Transition; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; SCF(Skp2)-mediated degradation of p27/p21; Degradation of beta-catenin by the destruction complex; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; GLI3 is processed to GLI3R by the proteasome; NIK-->noncanonical NF-kB signaling; Orc1 removal from chromatin; Regulation of RUNX2 expression and activity; GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2; Cyclin D associated events in G1; MAP3K8 (TPL2)-dependent MAPK1/3 activation; Prolactin receptor signaling; SCF-beta-TrCP mediated degradation of Emi1; Regulation of BACH1 activity,ENSMUSG00000036309,Delta-Notch signaling pathway; Wnt signaling pathway,26,0,0.932,0.9932463579,37.76,116.5,83.5,50.97,53.34,High,High,High,High,Peak Found,High,High,High,1,
TRUE,High,Master Protein,Q62417,Sorbin and SH3 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Sorbs1 PE=1 SV=2,High,High,0,7.787,3,3,6,2,1290,143,8.25,6.04,1.7,3,2,cell adhesion;cell-cell signaling;cell organization and biogenesis;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component,signal transduction activity or receptor binding;other molecular function,"Pf00018, Pf02208, Pf07653, Pf14604",20411,Sorbs1,mmu:20411; Q62417; Q80TF8; Q8BZI3; Q8K3Y2; Q921F8; Q9Z0Z8; Q9Z0Z9,Smooth Muscle Contraction,,PPAR signaling pathway; Integrin-mediated cell adhesion; Insulin signaling,4,0,0.811,0.937774543,23.81,110.2,89.8,40.58,41.27,n/a,n/a,Peak Found,High,n/a,n/a,Peak Found,High,1,
