Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Found in Sample Group: control,Found in Sample Group: ketamine,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Comet: Comet,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Comet,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Gene Symbol,Gene ID,Reactome Pathways,Ensembl Gene ID,WikiPathways,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (ketamine) / (control),Abundance Ratio Adj. P-Value: (ketamine) / (control),Abundance Ratio Variability [%]: (ketamine) / (control),Abundances (Grouped): control,Abundances (Grouped): ketamine,Abundances (Grouped) CV [%]: control,Abundances (Grouped) CV [%]: ketamine,"Found in Sample: F1: Sample, control","Found in Sample: F4: Sample, control","Found in Sample: F5: Sample, control","Found in Sample: F9: Sample, control","Found in Sample: F2: Sample, ketamine","Found in Sample: F6: Sample, ketamine","Found in Sample: F10: Sample, ketamine","Found in Sample: F11: Sample, ketamine",# Protein Groups,Modifications
TRUE,High,Master Protein,Q62393,Tumor protein D52 OS=Mus musculus OX=10090 GN=Tpd52 PE=1 SV=2,High,Peak Found,0,2.391,4,1,2,1,224,24.3,4.72,1.24,0,1,1,other biological processes,ER/Golgi;other cell component,other molecular function,Pf04201,21985,Tpd52,mmu:21985; Q545M5; Q62393; Q8CCU1; Q8K564; Q99KP8,Golgi Associated Vesicle Biogenesis,ENSMUSG00000027506,,1,0,0.975,0.996783417,0,101.3,98.7,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,High,Master Protein,Q80UU9,Membrane-associated progesterone receptor component 2 OS=Mus musculus OX=10090 GN=Pgrmc2 PE=1 SV=2,High,Peak Found,0.004,1.18,4,1,1,1,217,23.3,5.15,1.43,,1,,transport;other biological processes,non-structural extracellular;other membranes;ER/Golgi;nucleus;other cell component,transporter activity;other molecular function,Pf00173,70804,Pgrmc2,mmu:70804; Q80UU9,RHOA GTPase cycle; RHOG GTPase cycle; Heme signaling; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOD GTPase cycle,ENSMUSG00000049940,,6,0,1.449,0.7418746081,38.32,87.2,112.8,39.35,27.72,n/a,Peak Found,n/a,High,n/a,Peak Found,Peak Found,Peak Found,1,
TRUE,High,Master Protein,Q7TNC4,Putative RNA-binding protein Luc7-like 2 OS=Mus musculus OX=10090 GN=Luc7l2 PE=1 SV=1,High,Peak Found,0,9.852,8,2,4,2,392,46.6,10.1,4.43,4.33,2,2,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes,nucleus,nucleic acid binding activity;other molecular function,Pf03194,192196,Luc7l2,mmu:192196; Q7TNC4; Q99LM5; Q99PC3,,ENSMUSG00000029823,,0,0,0.927,0.9929093196,20.67,76.8,123.2,80.45,,Peak Found,n/a,Peak Found,High,n/a,n/a,n/a,Peak Found,1,
TRUE,High,Master Protein,Q6P8J7,"Creatine kinase S-type, mitochondrial OS=Mus musculus OX=10090 GN=Ckmt2 PE=1 SV=1",High,Peak Found,0,4.149,4,1,2,1,419,47.4,8.4,3.32,,1,,other metabolic processes,other membranes;mitochondrion,kinase activity;other molecular function,"Pf00217, Pf02807",76722,Ckmt2,mmu:76722; Q6P8J7,Creatine metabolism,ENSMUSG00000021622,,1,0,0.546,0.3194395643,108.75,129.4,70.6,,83.64,n/a,n/a,n/a,High,n/a,Peak Found,n/a,Peak Found,1,
TRUE,High,Master Protein,Q6PDQ2,Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus OX=10090 GN=Chd4 PE=1 SV=1,High,Peak Found,0.001,2,1,1,2,1,1915,217.6,5.81,1.2,0,1,1,cell organization and biogenesis;other biological processes,cytoskeleton;nucleus;other cell component,nucleic acid binding activity;other molecular function,"Pf00176, Pf00271, Pf00385, Pf00628, Pf06461, Pf06465, Pf08073, Pf08074",107932,Chd4,mmu:107932; Q6PDQ2,HDACs deacetylate histones; Regulation of TP53 Activity through Acetylation; RNA Polymerase I Transcription Initiation; Regulation of PTEN gene transcription; NGF-stimulated transcription,ENSMUSG00000063870,Mechanisms associated with pluripotency,6,0,0.623,0.5682387791,21.62,123.2,76.8,20.32,,High,Peak Found,Peak Found,Peak Found,n/a,n/a,n/a,Peak Found,1,
TRUE,High,Master Protein,Q8BTE0,"Succinate dehydrogenase assembly factor 4, mitochondrial OS=Mus musculus OX=10090 GN=Sdhaf4 PE=3 SV=2",High,Peak Found,0,5.05,20,2,3,2,104,11.9,9.5,3.3,1.86,2,1,cell organization and biogenesis;other metabolic processes;stress response;other biological processes,mitochondrion,enzyme regulator activity,Pf07896,68002,Sdhaf4,mmu:68002; Q8BTE0; Q9CQN5; Q9D537,Maturation of TCA enzymes and regulation of TCA cycle,ENSMUSG00000026154,,1,0,0.628,0.6001369524,14.59,128.2,71.8,8.62,57.19,Peak Found,n/a,n/a,High,n/a,Peak Found,n/a,Peak Found,1,
TRUE,High,Master Protein,Q6ZWN5,Small ribosomal subunit protein uS4 OS=Mus musculus OX=10090 GN=Rps9 PE=1 SV=3,High,Peak Found,0,2.666,8,2,4,2,194,22.6,10.65,2.91,0,2,2,protein metabolism;other metabolic processes;other biological processes,cytosol;translational apparatus;nucleus;other cell component,nucleic acid binding activity;other molecular function,"Pf00163, Pf01479",76846,Rps9,mmu:76846; Q3UBF1; Q6ZWN5; Q8K2D1,"L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Translation initiation complex formation; Formation of the ternary complex, and subsequently, the 43S complex; Ribosomal scanning and start codon recognition",ENSMUSG00000006333,mRNA processing,11,0,0.967,0.996783417,68.6,115.2,84.8,21.97,84.29,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,n/a,Peak Found,1,
TRUE,High,Master Protein,A2AF31,Thymosin beta OS=Mus musculus OX=10090 GN=Tmsb15b2 PE=1 SV=1,High,Peak Found,0,2.219,33,1,2,1,45,5.2,6,1.72,0,1,1,cell organization and biogenesis;other biological processes,cytoskeleton;other cell component,cytoskeletal activity,Pf01290,100034363,Tmsb15b2,A2AF31; mmu:100034363,,ENSMUSG00000089996,,0,0,1.012,0.996783417,27.77,99.4,100.6,28.18,7.23,Peak Found,n/a,Peak Found,High,n/a,n/a,Peak Found,Peak Found,1,
TRUE,High,Master Protein,Q99PL5,Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=2,High,Peak Found,0.001,1.869,1,1,2,1,1605,172.8,9.33,1.49,0,1,1,transport;signal transduction,other membranes;ER/Golgi,,Pf05104,81910,Rrbp1,A2AVJ8; mmu:81910; Q99PK5; Q99PK6; Q99PK7; Q99PK8; Q99PK9; Q99PL0; Q99PL1; Q99PL2; Q99PL3; Q99PL4; Q99PL5; Q9CS20,,ENSMUSG00000027422,,0,0,0.89,0.9653878631,34.5,110.9,89.1,35.6,30,n/a,Peak Found,Peak Found,High,n/a,Peak Found,Peak Found,Peak Found,1,
TRUE,High,Master Protein,Q99KJ8,Dynactin subunit 2 OS=Mus musculus OX=10090 GN=Dctn2 PE=1 SV=3,High,Peak Found,0,10.263,9,2,4,2,402,44.1,5.26,4.33,4.82,2,2,cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes,other membranes;cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,Pf04912,69654,Dctn2,mmu:69654; Q99KJ8,MHC class II antigen presentation; COPI-mediated anterograde transport; Recruitment of NuMA to mitotic centrosomes; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; COPI-independent Golgi-to-ER retrograde traffic; Anchoring of the basal body to the plasma membrane; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; AURKA Activation by TPX2,ENSMUSG00000025410,,11,0,0.58,0.4300459158,15.85,128.3,71.7,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
